Абхазия,Республика Абхазия
Киргизия,Киргизская Республика
Кирибати,Республика Кирибати
Китай,Китайская Народная Республика
Кокосовые (Килинг) Острова,
Колумбия,Республика Колумбия
Коморы,Союз Коморы
Конго,Республика Конго
"Конго, Демократическая Республика",
"Корея, Народно-Демократическая Республика",Корейская Народно-Демократическая Республика
"Корея, Республика",Республика Корея
Коста-Рика,Республика Коста-Рика
Кот Д’ивуар,Республика Кот д’Ивуар
Куба,Республика Куба
Кувейт,Государство Кувейт
Кюрасао,
Лаосская Народно-Демократическая Республика,
Латвия,Латвийская Республика
Лесото,Королевство Лесото
Либерия,Республика Либерия
Ливан,Ливанская Республика
Ливия,Ливия
Литва,Литовская Республика
Лихтенштейн,Княжество Лихтенштейн
Люксембург,Великое Герцогство Люксембург
Маврикий,Республика Маврикий
Мавритания,Исламская Республика Мавритания
Мадагаскар,Республика Мадагаскар
Майотта,
Макао,Специальный административный регион Китая Макао
Республика Македония,
Малави,Республика Малави
Малайзия,
Мали,Республика Мали
Малые Тихоокеанские Отдаленные Острова Соединенных Штатов,
Мальдивы,Мальдивская Республика
Мальта,Республика Мальта
Марокко,Королевство Марокко
Мартиника,
Маршалловы Острова,Республика Маршалловы Острова
Мексика,Мексиканские Соединенные Штаты
"Микронезия, Федеративные Штаты",Федеративные Штаты Микронезии
Мозамбик,Республика Мозамбик
"Молдова, Республика",Республика Молдова
Монако,Княжество Монако
Монголия,
Монтсеррат,
Мьянма,Республика Союза Мьянма
Намибия,Республика Намибия
Науру,Республика Науру
Непал,Федеративная Демократическая Республика Непал
Нигер,Республика Нигер
Нигерия,Федеративная Республика Нигерия
Нидерланды,Королевство Нидерландов
Никарагуа,Республика Никарагуа
Ниуэ,Ниуэ
Новая Зеландия,
Новая Каледония,
Норвегия,Королевство Норвегия
Объединенные Арабские Эмираты,
Оман,Султанат Оман
Острова Кайман,
Острова Кука,
Острова Теркс и Кайкос,
Остров Буве,
Остров Мэн,
Остров Норфолк,
Остров Рождества,
Остров Херд и Острова Макдональд,
Пакистан,Исламская Республика Пакистан
Палау,Республика Палау
"Палестинская Территория, Оккупированная",Оккупированная Палестинская территория
Панама,Республика Панама
Папский Престол (Государство — Город Ватикан),
Папуа-Новая Гвинея,
Парагвай,Республика Парагвай
Перу,Республика Перу
Питкерн,
Польша,Республика Польша
Португалия,Португальская Республика
Пуэрто-Рико,
Реюньон,
Россия,Российская Федерация
Руанда,Руандийская Республика
Румыния,
Самоа,Независимое Государство Самоа
Сан-Марино,Республика Сан-Марино
Сан-Томе и Принсипи,Демократическая Республика Сан-Томе и Принсипи
Саудовская Аравия,Королевство Саудовская Аравия
Свазиленд,Королевство Свазиленд
"Святая Елена, Остров Вознесения, Тристан-Да-Кунья",
Северные Марианские Острова,Содружество Северных Марианских островов
Сейшелы,Республика Сейшелы
Сен-Бартелеми,
Сен-Мартен,
Сен-Мартен (Нидерландская Часть),
Сенегал,Республика Сенегал
Сент-Винсент и Гренадины,
Сент-Китс и Невис,
Сент-Люсия,
Сен-Пьер и Микелон,
Сербия,Республика Сербия
Сингапур,Республика Сингапур
Сирийская Арабская Республика,
Словакия,Словацкая Республика
Словения,Республика Словения
Соединенное Королевство,Соединенное Королевство Великобритании и Северной Ирландии
Соединенные Штаты,Соединенные Штаты Америки
Соломоновы Острова,
Сомали,Сомалийская Республика
Судан,Республика Судан
Суринам,Республика Суринам
Сьерра-Леоне,Республика Сьерра-Леоне
Таджикистан,Республика Таджикистан
Таиланд,Королевство Таиланд
Тайвань (Китай),
"Танзания, Объединенная Республика",Объединенная Республика Танзания
Того,Тоголезская Республика
Токелау,
Тонга,Королевство Тонга
Тринидад и Тобаго,Республика Тринидад и Тобаго
Тувалу,
Тунис,Тунисская Республика
Туркмения,Туркменистан
Турция,Турецкая Республика
Уганда,Республика Уганда
Узбекистан,Республика Узбекистан
Украина,
Уоллис и Футуна,
Уругвай,Восточная Республика Уругвай
Фарерские Острова,
Фиджи,Республика Фиджи
Филиппины,Республика Филиппины
Финляндия,Финляндская Республика
Фолклендские Острова (Мальвинские),
Франция,Французская Республика
Французская Гвиана,
Французская Полинезия,
Французские Южные Территории,
Хорватия,Республика Хорватия
Центрально-Африканская Республика,
Чад,Республика Чад
Черногория,
Чешская Республика,
Чили,Республика Чили
Швейцария,Швейцарская Конфедерация
Швеция,Королевство Швеция
Шпицберген и Ян Майен,
Шри-Ланка,Демократическая Социалистическая Республика Шри-Ланка
Эквадор,Республика Эквадор
Экваториальная Гвинея,Республика Экваториальная Гвинея
Эландские Острова,
Эль-Сальвадор,Республика Эль-Сальвадор
Эритрея,
Эстония,Эстонская Республика
Эфиопия,Федеративная Демократическая Республика Эфиопия
Южная Африка,Южно-Африканская Республика
Южная Джорджия и Южные Сандвичевы Острова,
Южная Осетия,Республика Южная Осетия
Южный Судан,Республика Южный Судан
Ямайка,
Япония,
