№,Название,Отрасль,Краткое описание специфики деятельности,Дата создания,Контактная информация,Офисы (адрес/тел.),web-контакты (сайт/блог/твиттер),Учредители,Кол-во сотрудников,Управляющая команда (ФИО руководителей),Финансовые показатели за прошлые периоды (чистая прибыль),Финансирование в компанию (кто/когда/сколько) - этапы и суммы инвестиций,Поглощения других компаний (кого/когда/сколько),Инвестиции от имени компании в другие проекты (куда/когда/сколько),Exit (IPO) (где/когда/объявленная стоимость/капитализация),Котировки акций,Куплена (кем/когда/сколько),Созданные продукты,Поставщики услуг,Конкуренты,Опыт взаимодействия с институтами развития,"Участие в конкурсах, премиях",Участие в акселераторах,Потребность в инвестициях (в диапазонах),
11,"ООО ""Инновационные Технологии""",Живые системы,Разработчик технологии Интерфейс мозг-компьютер для управления протезами конечностей и манипуляторами,Март 2010 г.,E-mail: akaplan@mail.ru,"119992, г. Москва, ул. Ленинские Горы, д. 1, стр.77
А.Я Каплан:
Тел.: +7 (495) 939 13 73
Факс: +7 (495) 939 43 09 ","http://brain.bio.msu.ru/research_r.htm
http://www.innovativetech.ru/","ООО ""ЦЕНТР ИННОВАЦИОННОГО ПРЕДПРИНИМАТЕЛЬСТВА"", Каплан Александр Яковлевич, Макаров Илья Сергеевич, ООО ""Интек ИНТ""",1-10,"Басюл Иван Андреевич - генеральный директор 
Каплан Александр Яковлевич - директор по науке и ткехнологиям",Нет данных,"Грант Сколково - 25 млн. рублей (грантовое соглашение № 25 от 01.08.2011)
Победитель ""Старт-10"": сумма контракта - 1 000 000 рублей (контракт от 26.02.2010)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"Нейро-игры
Устройство «Мыслепечать»",,Brainwave Science,"Резидент Сколково
Получатель гранта Фонда ""Сколково""","Победитель программы ""Старт10""",Не участвовали,Инвестиции не привлекаются,
12,"ООО ""Инкурон""",Живые системы,"Разработка и проведение доклинических и клинических исследований инновационных лекарственных средств на основе нового класса молекул химической природы, Кураксинов, для лечения онкологических и аутоиммунных заболеваний",Январь 2010 г.,E-mail: info@incuron.ru,"Почтовый адрес: 121069, г. Москва, пер. Столовый, д. 6, стр. 2, телефон: +7 (495) 9747401, факс: +7 (495) 9747402
Офис в США:
73 High St.
Buffalo, NY 14203
Тел: (716) 849-6810  (ext.316)
Факс: (716) 849-6820","www.incuron.ru
http://инкурон.рф/","КОМП ""Кливленд БиоЛабс"" (Cleveland BioLabs, Inc.) (США), ООО ""УК БКП""",7,"Леонов Андрей Александрович - генеральный директор
Майкл Фонстейн - генеральный директор Cleaveland BioLabs
Иванов Роман Викторович - заместитель генерального директора
Пурмаль Андрей - исполнительный директор американского представительства
Салимов Рамиз Меджидович - директор по доклиническим программам
Гудков Андрей Владимирович - директор по науке
Шпиготская Полина Алексеевна - менеджер по клиническим исследованиям
Федотов Юрий Алексеевич - руководитель направления по разработке лекарств ГК ""Биопроцесс""
Христофорова Людмила - менеджер проекта",Нет данных,"Грант Сколково - 149,9 млн. рублей (грантовое соглашение № 30 от 01.09.2011)
2010-2014: 549,47 млн. рублей - Биопроцесс Кэпитал Партнерс (первый транш - 175,57 млн. рублей, 2010; второй транш - 194 млн. рублей, 2012; третий транш - 110,7 млн. рублей, 2013 (план); четвертый транш - 69,2 млн. рублей, 2014 (план))",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"Кураксин CBL0137 - клинические испытания (фаза 1)
Кураксин CBL0102 (квинакрин, лекарство для лечения  гепатоцеллюлярной карциномы) - клинические испытания (фаза 1)","Cleaveland BioLabs - передача технологий
Партнеры:
МГУ им.М.В.Ломоносова, Центр Высоких Технологий «ХимРар», ООО Асинэкc
Научно-исследовательский институт медицинской приматологии РАМН (НИИ МП РАМН), Научно-исследовательский институт канцерогенеза, ГУ РОНЦ им. Н.Н.Блохина РАМН, ООО «Прудентас», Aptuit, MPI Research, Inc., RPCI","Amgen Inc.
AstraZeneca PLC
Osiris Therapeutics, Inc.","Резидент Сколково
Получатель гранта Фонда ""Сколково""
Портфельная компания фонда под управлением Bioprocess Capital Partners",Не участвовалм,Не участвовали,Потрребности в инвестициях: второй раунд финансирования: 100M $ (2016),
13,"ООО ""Гамма Глобал РД""",Живые системы,Разработчик технологии прогноза рецидивирования и чувствительности к химеотерапии у онкологических пациентов РМЖ на основе анализа экспрессии генов,Апрель 2011 г.,,"123154, г. Москва, ул. Саляма Адиля, д. 9, корп. 3, пом. 1, комн 2",http://www.gammatechnologyag.com/gt.html,"ООО ""ГТ""",н/д,Быков Игорь Александрович  - генеральный директор,Нет данных,"Грант Сколково - 1,5 млн. рублей (грантовое соглашение № ГГ-1811 от 18.11.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,Компания разрабатывает технологию прогноза рецидивирования и чувствительности к химиотерапии у онкологических пациентов на основе анализа профиля экспрессии генов в ткани опухоли (рак молочной железы),ФГУ «Российский Научный Центр Рентгенорадиологии»,Ростовский научно-исследовательский онкологический институт,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",Не участвовали,Не участвовали,Инвестиции не привлекаются,
14,"ООО ""ОнкоТартис""",Живые системы,Разработчик противораковых препаратов на основе оригинальной научной концепции,Октябрь 2010 г.,,"121069, г. Москва, пер. Столовый, д. 6, стр. 2, телефон:   +7 (495) 9747401, факс: +7 (495) 9747402",,"ООО ""УК БКП""",,  Леонов Андрей Александрович - генеральный директор,Нет данных,"Грант Сколково - 108,4 млн. рублей (грантовое соглашение № 55 от 30.01.2012)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""
Портфельная компания фонда под управлением Bioprocess Capital Partners",,Не участвовали,Инвестиции не привлекаются,
15,"ООО ""ТераМАБ""",Живые системы,Разработчик оригинального терапевтического моноклонального антитела против аутоиммунных заболеваний и В-клеточного хронического лимфолейкоза,Август 2009 г.,,"121069, г. Москва, пер. Столовый, д. 6, стр. 2, телефон:   +7 (495) 9747401, факс: +7 (495) 9747402
ООО ""ТераМАБ""
Представительство:
ТераМАБ ЛЛЦ. Германия
97076 Германия, Вюрцбург
Фридрих-Бергиус-Ринг 15
Тел.: +49 (931) 32996812 
Факс: +49 (931) 32996819  ",www.theramab.ru,"""ТераМАБ ГмбХ"" (TheraMAB GmbH)( Германия), ООО ""УК БКП""",Нет данных,"Тырсин Дмитрий Юрьевич - генеральный Директор
Чувпило С.А. - глава ТераМАБ ЛЛЦ (Германия)
Федотов Ю.А. - директор по доклиническим исследованиям и клиническим исследованиям
Мацкевич А.А. - главный научный сотрудник
Неменов Д. Г. - менеджер по клиническим исследованиям
Исаченко М.А. - ассистент менеджера проекта ",Нет данных,"Грант Сколково - 149,3 млн. рублей (грантовое соглашение № 56 от 09.02.2012)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,TAB08 - разрабатываемое антитело,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""
Портфельная компания фонда под управлением Bioprocess Capital Partners",,Не участвовали,Инвестиции не привлекаются,
16,"ООО ""Фьюжн Фарма""",Живые системы,Новые ингибиторы тирозинкиназ как потенциальные противораковые препараты,Сентябрь 2009 г.,,"119530, г. Москва, ул. Генерала Дорохова, д. 18, стр. 2, Телефон:  +7 (495) 9336080, Факс: +7 (495) 9336080",http://ru.linkedin.com/pub/ghermes-chilov/6/92b/820?trk=pub-pbmap,"ООО ""ФармТех"", Сыров Кирилл Константинович, Нестерук Владимир Викторович, Кедровский Олег Эдуардович, Шульженко Дмитрий Владимирович,Романов Алексей Леонидович, Петрушко Святослав Олегович, Рейхарт Дмитрий Владимирович, Стрекалов Антон Евгеньевич",Нет данных,"Чилов Гермес Григорьевич - генеральный директор
Строганов Олег Валентинович
Новиков Федор Николаевич
Стройлов Виктор Сергеевич",(-) 1 315 тыс.руб. (2011),"Грант Сколково - 27 млн. рублей (грантовое соглашение № 38 от 01.11.2011)
Грант Сколково - 1,5 млн. рублей (грантовое соглашение № ФФ-01 от 01.11.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,"Gleevec, Novartis

Tasigna, Novartis
Sprycel, BMS","Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Потребность в инвестициях: 10M $ (для проведенияиспытаний в России),
17,"ООО ""Квантум Эйдж""",Живые системы,Разработчик лекарственных препаратов - регуляторов гликолиза.,Сентябрь 2011 г.,,"117292, г. Москва, ул. Профсоюзная, д. 26/44, пом. II, комн .1, Телефон:  +7 (499) 1561561 ",,"Винник Андрей Александрович, Федичев Петр Олегович, Нестерук Владимир Викторович, Холин Максим Николаевич, ОАО ""Валента Фарм""",3,"Федичев Петр Олегович - генеральный директор
Пырков Тимофей Владимирович - научный сотрудник
Жидкова Татьяна Владимировна - научный сотрудник",Нет данных,"Грант Сколково - 22,4 млн. рублей (грантовое соглашение № 62 от 14.03.2012)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Инвестиции не привлекаются,
18,"ООО ""НьюВак""",Живые системы,"Разработчик новых анти-гипокси-аденозиновых технологий,лекарств и вакцин для лечения раковых, инфекционных заболеваний исепсиса",Декабрь 2010 г.,Электронная почта: oia@newvac.ru,"141400,Московская область, г. Химки, ул. Рабочая, д. 2А, корп. 1
Тел.: +7 (495) 925 3074
Факс: +7 (495) 626 9780",www.newvac.ru,"ООО ""ХимРар Венчурс"", ЗАО ""ИИХР""",Нет данных,"Оршанский Игорь Александрович - генеральный директор
Уве Пейкерт - ведущий медицинский специалист
Андрей Голубев - медицинский директор
Сергей Дудкин - директор по стратегии и развитию
Илья Окунь - главный специалист по доклиническим исследованиям
Александр Иващенко - главный специалист по химии
Олег Дмитриевич Митькин
Константин Казарьян - директор по производству",Нет данных,"Грант Сколково - 199,9 млн. рублей (грантовое соглашение № 9 от 27.12.2010)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"Разрабатываемые продукты:
1. Антагонист аденозинового рецептора  A2a
2. Онковакцина или другая адаптированная онкотерапия
3. Метод лечения рака, основанный на адаптированной имуннотерапии","Партнеры проекта:
Центр высоких технологий ""ХимРар""
Исследовательский институт химического разнообразия
Сервисная компания ""Технология лекарств""",,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Инвестиции не привлекаются,
19,"ООО ""М-Пауэр Ворлд""",Живые системы,Фотобиологические микробные топливные элементы,Июнь 2011 г.,,"105005, г. Москва, ул. 2-я Бауманская, д. 5",,"М ПАУЭР ВОРЛД ЛИМИТЕД (M POWER WORLD LIMITED)( Великобритания"", Майоров Андрей Сергеевич",,Майоров Андрей Сергеевич - генеральный директор,Нет данных,"Грант Сколково - 395,7 млн. рублей (грантовое соглашение № 1 от 21.12.2010)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Инвестиции не привлекаются,
20,"ООО ""Уральский центр биофармацевтических технологий""",Живые системы,Разработчик оригинальных лекарственных средств для лечения инфекций вирусной этиологии и методов диагностики вирусных заболеваний,Декабрь 2010 г.,,"620026, г. Екатеринбург, ул. Горького, д. 65, к. 247",,"ООО ""Холдинг Юнона""",,Сорокин Павел Владимирович - генеральный директор,(-) 4 тыс. руб. ,"Грант Сколково - 400 млн. рублей (грантовое соглашение № 10 от 27.12.2010)
2011: Холдинг ""Юнона"" - 92,8 млн. рублей (общий запланированный объем  финансирования проекта холдингом - 560 млн. рублей)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Инвестиции не привлекаются,
21,"ООО ""Фарма Био""",Живые системы,Разработчик синтетических пептидных препаратов,Декабрь 2010 г.,E-mail: info@pharmabio.ru,"117997, г. Москва, ул. Миклухо-Маклая, д. 16/10
Телефоны: +7 (499) 724-81-00 , +7 (499) 793-50-88",http://www.farmabio.ru/,"ООО ""Пептос Фарма"", ИБХ РАН",52,"Дейгин Владислав Исакович - генеральный Директор
Вадим Иванов - директор по науке
Юрий Дейгин - операционный директор
Ольга Вольпина - ведущий исследователь",0,"Грант Сколково - 669,7 млн. рублей (грантовое соглашение № 7 от 27.12.2010)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"C12 - доклинические испытания
Тимодепрессин
Стемокин (ожидает разрешения на продажи)
IBCh-05 - завершены клинические испытания (фаза 1)
IBCh-07 - завершены клинические испытания (фаза 1)",Институт биоорганической химии им. академиков М.М. Шемякина и Ю.А. Овчинникова РАН,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Потребность в инвестициях: 730 млн. рублей,
22,"ООО ""Биосфера ТНК""",ИКТ,Разработка информационно-аналитической системы предупреждения аварий в нефтегазовом комплексе России,Апрель 2010 г.,,"125466, г. Москва, шоссе Новокуркинское, д. 35, корп. 1, кв. 32, Телефон:  +7 (499) 5047321, Факс: +7 (499) 5047321",,"Пермякова Наталья Владимировна, Топчиев Анатолий Георгиевич",н/д,Топчиев Анатолий Георгиевич - генеральный директор,Нет данных,"Грант Сколково - 1,2 млн. рублей (грантовое соглашение № КТИТ-1 от 26.12.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Инвестиции не привлекаются,
